OID_,Traffic_Station_Locations_OBJECTID,Traffic_Station_Locations_Signing,Traffic_Station_Locations_DOT_ID,Traffic_Station_Locations_CO,Traffic_Station_Locations_FG,Traffic_Station_Locations_Sample_ID,Traffic_Station_Locations_Bridge_ID,Traffic_Station_Locations_RR_Xing,Traffic_Station_Locations_NHS,Traffic_Station_Locations_Speed,Traffic_Station_Locations_Oneway,Traffic_Station_Locations_OLAP_Hier,Traffic_Station_Locations_Lanes,Traffic_Station_Locations_RC_STATION,Traffic_Station_Locations_RG,Traffic_Station_Locations_REGION_COD,Traffic_Station_Locations_COUNTY_COD,Traffic_Station_Locations_COU,Traffic_Station_Locations_CCST,Traffic_Station_Locations_GIS_ID,Traffic_Station_Locations_LOC_ERROR,Traffic_Station_Locations_RCSTA1,Traffic_Station_Locations_RC_Code,Traffic_Station_Locations_FIPS,Traffic_Station_Locations_Station_T1,Traffic_Station_Locations_GeoCode_T,Traffic_Station_Locations_Juris_T,Traffic_Station_Locations_GlobalID,Traffic_Station_Locations_Retired,Traffic_Station_Locations_R_Year,Traffic_Station_Locations_R_Notes,Traffic_Station_Locations_Shape_STLe,AADT_Stats_2023_Table_Description,AADT_Stats_2023_Table_County,AADT_Stats_2023_Table_Route,AADT_Stats_2023_Table_From_Milepoint,AADT_Stats_2023_Table_To_Milepoint,AADT_Stats_2023_Table_Functional_Class,AADT_Stats_2023_Table_Latitude,AADT_Stats_2023_Table_Longitude,AADT_Stats_2023_Table_Year,AADT_Stats_2023_Table_Stat_Type,AADT_Stats_2023_Table_AADT,AADT_Stats_2023_Table_AAWDT,AADT_Stats_2023_Table_Single_Unit_Truck_AADT,AADT_Stats_2023_Table_Combo_Unit_Truck_AADT,AADT_Stats_2023_Table_K_Factor,AADT_Stats_2023_Table_D_Factor,AADT_Stats_2023_Table_Station_Type,Shape_Length
6306,6871, ,256876,1,30, , , ,Y,25, , ,1:1||||,04_1215,11,0,4,61, ,256876011,NO ERROR,041215,04,061,1215,2034,04,{FEC663AF-13E5-40F1-857D-B42FBFB305B9}, ,0, ,416.920973991999972,W 207TH ST from TENTH AVE to BROADWAY,New york,W 207TH ST,0.28,0.54,Urban:Principal Arterial - Other,40.865150000000000,-73.919549000000004,2023,Estimated,14538,,912,24,0.060000000000000,0.55,Short Term,416.920983334165896
6307,6795, ,300258,1,30, , , ,Y,25,Y, ,0:2|1:0|||,04_1132,11,0,4,61, ,300258011,NO ERROR,041132,04,061,1132,2034,04,{92651302-DBBC-4A47-9E68-6DB89D7050C7}, ,0, ,965.187221591000025,BROADWAY from COLUMBUS CIR to W 47TH ST,New york,BROADWAY,0,0.6,Urban:Principal Arterial - Other,40.762430000000002,-73.983519999999999,2023,Estimated,5822,,295,11,0.060000000000000,1,Short Term,965.187219179333283
6309,6722,1,100477,1,30, , , ,Y,40, , , ,04_0015,11,0,4,61, ,100477012,PARTIAL MATCH FOR THE TO-MEASURE,040015,04,061,15,2034,32,{6DACC040-2853-48CB-B797-CBC62A08456F}, ,0, ,1294.918883320000077,I-78 from NJ HOLLAND TUNNEL to END RT 78I,New york,HOLLAND TUNNEL,0,0.9,Urban:Principal Arterial - Interstate,40.722783999999997,-74.006975999999995,2023,,,,,,,,Short Term,1294.918883321712201
6310,6721,1,100477,1,30, , , ,Y,40, , , ,04_0015,11,0,4,61, ,100477011,PARTIAL MATCH FOR THE TO-MEASURE,040015,04,061,15,2034,32,{F62D7E32-7CAF-4A74-8E27-A2426051444C}, ,0, ,1444.331223899999941,I-78 from NJ HOLLAND TUNNEL to END RT 78I,New york,HOLLAND TUNNEL,0,0.9,Urban:Principal Arterial - Interstate,40.722783999999997,-74.006975999999995,2023,,,,,,,,Short Term,1444.331223895353332
6311,6720,3,100206,1,30,2014099,2240047, ,Y,25, , ,5:4||||,04_0014,11,0,4,61, ,100206011,NO ERROR,040014,04,061,14,2034,04,{CCF1E279-0204-41AB-A326-A00573BCA2FA}, ,0, ,1254.901933520000057,NY25 from SECOND AVE/59TH ST to NY/Queens Co Line,New york,QUEENSBORO BR,0,0.81,Urban:Principal Arterial - Other,40.760188999999997,-73.962181000000001,2023,Actual,108781,,,,0.060000000000000,0.6,Short Term,1254.901933517742009
6312,6876, ,256900,1,30, ,2245440, ,Y,25,Y, ,1:1|2:0|||,04_1220,11,0,4,61, ,256900011,NO ERROR,041220,04,061,1220,2034,04,{30917686-7426-40DF-8258-31C1AA2B4E1A}, ,0, ,692.019269868000038,W 40TH ST from TWELFTH AVE to DYER AVE,New york,W 40TH ST,0,0.43,Urban:Principal Arterial - Other,40.760370000000002,-74.001120000000000,2023,Estimated,3919,,265,31,0.070000000000000,0.92,Short Term,692.019283910798094
6313,6800, ,256559,1,30, ,2240019, ,Y,25, , ,2:2||||,04_1138,11,0,4,61, ,256559011,NO ERROR,041138,04,061,1138,2034,04,{19F3BE47-D0DF-4BB4-B691-E7CF5EBCDD75}, ,0, ,1286.972347440000021,BROOKLYN BRDGE from KINGS CO LINE to CENTRE ST,New york,BROOKLYN BRDGE,0,0.8,Urban:Principal Arterial - Freeways & Expressways,40.710059999999999,-74.001720000000006,2023,Actual,72516,,333,2,0.080000000000000,0.51,Short Term,1286.972347437801773
6315,6719,3,100503,1,30, ,2229430, ,Y,40, ,1,2:3|3:3|||,04_0013,11,0,4,61, ,100503011,NO ERROR,040013,04,061,13,2034,01,{0164D66F-7545-4C7D-9237-FF32BBD80BA7}, ,0, ,1351.851644690000057,NY9A from DYCKMAN ST UNDER to NY/Bronx Co Line,New york,HENRY HUDSON PK,12.2,13.04,Urban:Principal Arterial - Freeways & Expressways,40.865234000000001,-73.932924999999997,2023,Estimated,93654,,1294,1,0.080000000000000,0.54,Short Term,1351.851662265216873
6316,6718,3,100503,1,30, ,2229430, ,Y,40, ,1,2:3|3:3|||,04_0013,11,0,4,61, ,100545011,PARTIAL MATCH FOR THE TO-MEASURE,040013,04,061,13,2034,01,{613E1496-D7AC-4367-AC37-801B6D5C92E4}, ,0, ,1347.411793559999978,NY9A from DYCKMAN ST UNDER to NY/Bronx Co Line,New york,HENRY HUDSON PK,12.2,13.04,Urban:Principal Arterial - Freeways & Expressways,40.865234000000001,-73.932924999999997,2023,Estimated,93654,,1294,1,0.080000000000000,0.54,Short Term,1347.411783502202979
6318,6717,3,100503,1,30, ,2229360, ,Y,35, ,1,2:2|2:3|3:3||,04_0012,11,0,4,61, ,100545011,NO ERROR,040012,04,061,12,2034,01,{90BFD320-233A-44A5-A381-E415654DF8ED}, ,0, ,3284.385161889999836,NY9A from EXIT 14 ACC RT 95I GEORGE WA to DYCKMAN ST UNDER,New york,HENRY HUDSON PK,10.16,12.2,Urban:Principal Arterial - Freeways & Expressways,40.856740000000002,-73.938550000000006,2023,Estimated,86075,,1183,5,0.080000000000000,0.5,Short Term,3284.385171953376812
6319,6716,3,100503,1,30, ,2229360, ,Y,35, ,1,2:2|2:3|3:3||,04_0012,11,0,4,61, ,100503011,NO ERROR,040012,04,061,12,2034,01,{47273E9D-34B0-4680-A513-E7A8F19E616F}, ,0, ,3283.068292670000119,NY9A from EXIT 14 ACC RT 95I GEORGE WA to DYCKMAN ST UNDER,New york,HENRY HUDSON PK,10.16,12.2,Urban:Principal Arterial - Freeways & Expressways,40.856740000000002,-73.938550000000006,2023,Estimated,86075,,1183,5,0.080000000000000,0.5,Short Term,3283.068269979353772
6321,6823, ,256623,1,30, , , ,Y,25, , ,1:1||||,04_1163,11,0,4,61, ,256623011,PARTIAL MATCH FOR THE TO-MEASURE,041163,04,061,1163,2034,04,{B94EFF16-6F1E-4711-B401-EB8F7CE54908}, ,0, ,265.625673490999986,E 135TH ST from FIFTH AVE to PARK AVE,New york,E 135TH ST,0,0.17,Urban:Principal Arterial - Other,40.812441999999997,-73.936744000000004,2023,Actual,18603,,1132,18,0.070000000000000,0.62,Short Term,265.625673491819327
6323,6754,3,100503,1,30, , , ,Y,35, ,1,3:3|4:3|||,04_1002,11,0,4,61, ,100503011,NO ERROR,041002,04,061,1002,2034,01,{9066186A-D114-41A6-8D97-E435447DA3A7}, ,0, ,778.830284969999980,NY9A from 11th/12th AVE SPLIT to W 30TH ST,New york,12TH AVE,2.81,3.27,Urban:Principal Arterial - Other,40.752825000000001,-74.007542999999998,2023,Estimated,73372,,4844,386,0.070000000000000,0.53,Short Term,778.830284970460980
6324,6715,3,100503,1,30, ,2229349, ,Y,50, ,1,3:3||||,04_0011,11,0,4,61, ,100545011,NO ERROR,040011,04,061,11,2034,01,{AE8A5021-A6A8-4F39-9D2A-A03C35F6344B}, ,0, ,1044.758833749999894,NY9A from EXIT 13 ACC W 158TH ST to EXIT 14 ACC RT 95I GEORGE WA,New york,HENRY HUDSON PK,9.51,10.16,Urban:Principal Arterial - Freeways & Expressways,40.839188000000000,-73.946990000000000,2023,Estimated,129620,,1813,13,0.070000000000000,0.56,Short Term,1044.758795572875215
6325,6866, ,256857,1,30, , , ,Y,25, , ,1:1||||,04_1210,11,0,4,61, ,256857011,NO ERROR,041210,04,061,1210,2034,04,{CC90BA6E-D4F6-48F0-A0D6-0F232C672CBA}, ,0, ,885.140929744000005,W 14TH ST from ELEVENTH AVE to SEVENTH AVE,New york,W 14TH ST,0,0.54,Urban:Principal Arterial - Other,40.739350000000002,-74.001260000000002,2023,Estimated,10175,,1550,39,0.060000000000000,0.5,Short Term,885.140897795863793
6326,6790, ,256547,1,30, , , ,Y,25, , ,1:1||||,04_1127,11,0,4,61, ,256547011,NO ERROR,041127,04,061,1127,2034,04,{03E853B8-7AFA-455D-AD13-B59C2F23DA7C}, ,0, ,73.650842416299994,BATTERY PL from WEST ST to BROADWAY,New york,BATTERY PL,0,0.15,Urban:Principal Arterial - Other,40.704883000000002,-74.015968000000001,2023,Estimated,16581,,1121,130,0.070000000000000,0.55,Short Term,73.650842415939735
6328,6714,3,100503,1,30, ,2229349, ,Y,50, ,1,3:3||||,04_0011,11,0,4,61, ,100503011,NO ERROR,040011,04,061,11,2034,01,{F306FA9D-10AA-4BA3-A45B-E76E9970650E}, ,0, ,1046.075733030000038,NY9A from EXIT 13 ACC W 158TH ST to EXIT 14 ACC RT 95I GEORGE WA,New york,HENRY HUDSON PK,9.51,10.16,Urban:Principal Arterial - Freeways & Expressways,40.839188000000000,-73.946990000000000,2023,Estimated,129620,,1813,13,0.070000000000000,0.56,Short Term,1046.075741363333918
6330,6713,3,100503,1,30, ,2229322, ,Y,50, ,1,3:3||||,04_0010,11,0,4,61, ,100545011,NO ERROR,040010,04,061,10,2034,04,{8516E20D-D3F1-4843-9D02-8FFA25CFFB35}, ,0, ,1818.562377140000081,NY9A from ACC W 96TH ST to ACC W 125TH ST,New york,HENRY HUDSON PK,6.58,7.71,Urban:Principal Arterial - Freeways & Expressways,40.800483000000000,-73.974446000000000,2023,Estimated,144395,,2044,1,0.060000000000000,0.61,Short Term,1818.562381611099227
6332,6846, ,256751,1,30, , , ,Y,25,Y, ,2:0||||,04_1186,11,0,4,61, ,256751011,NO ERROR,041186,04,061,1186,2034,04,{54F632B5-04FE-43D7-856A-3B15F0018F38}, ,0, ,320.676641327000027,LEXINGTON AVE from E 129TH ST to E 125TH ST,New york,LEXINGTON AVE,0.1,0.3,Urban:Principal Arterial - Other,40.806575000000002,-73.935890999999998,2023,Actual,10066,,662,9,0.080000000000000,1,Short Term,320.676613128552162
6334,6712,3,100503,1,30, ,2229322, ,Y,50, ,1,3:3||||,04_0010,11,0,4,61, ,100503011,NO ERROR,040010,04,061,10,2034,04,{F3710192-935D-479C-9B0E-E4761639986B}, ,0, ,1818.562302069999987,NY9A from ACC W 96TH ST to ACC W 125TH ST,New york,HENRY HUDSON PK,6.58,7.71,Urban:Principal Arterial - Freeways & Expressways,40.800483000000000,-73.974446000000000,2023,Estimated,144395,,2044,1,0.060000000000000,0.61,Short Term,1818.562288814582416
6336,6851, ,256764,1,30, ,2240028, ,Y,25, , ,2:2||||,04_1191,11,0,4,61, ,256764011,NO ERROR,041191,04,061,1191,2034,04,{EBD5D22D-A44E-41BD-B887-C36B3708D600}, ,0, ,1287.477789269999903,MANHATTAN BR Up from KINGS CO LINE to Canal St,New york,MANHATTAN BR UP,0,0.8,Urban:Principal Arterial - Other,40.709086999999997,-73.991765000000001,2023,Actual,46019,,3698,200,0.070000000000000,0.76,Short Term,1287.477816173635574
6337,6711,3,100503,1,30, ,2229289, ,Y,50, ,1,3:3||||,04_0009,11,0,4,61, ,100503011,NO ERROR,040009,04,061,9,2034,04,{68635789-F5E0-4226-A5E8-3CD6A9C7DE9D}, ,0, ,1512.786446540000043,NY9A from 79TH ST EXIT to ACC W 96TH ST,New york,HENRY HUDSON PK,5.64,6.58,Urban:Principal Arterial - Freeways & Expressways,40.791390000000000,-73.981110000000001,2023,Actual,115310,,1797,4,0.070000000000000,0.6,Short Term,1512.786441655049657
6339,6818, ,256751,1,30, , , ,Y,25,Y, ,3:0||||,04_1157,11,0,4,61, ,256751011,NO ERROR,041157,04,061,1157,2034,04,{DCDBB876-35AA-4ED1-9D4B-B3BE46C08F3B}, ,0, ,2011.684038469999905,LEXINGTON AVE from E 59TH ST to E 34TH ST,New york,LEXINGTON AVE,3.62,4.87,Urban:Principal Arterial - Other,40.754280000000001,-73.973929999999996,2023,Estimated,24833,,1947,53,0.060000000000000,1,Short Term,2011.683967154616084
6341,6710,3,100503,1,30, ,2229289, ,Y,50, ,1,3:3||||,04_0009,11,0,4,61, ,100545011,NO ERROR,040009,04,061,9,2034,04,{D48A6725-9997-4605-A18C-CA8CC277ECD9}, ,0, ,1512.786419600000045,NY9A from 79TH ST EXIT to ACC W 96TH ST,New york,HENRY HUDSON PK,5.64,6.58,Urban:Principal Arterial - Freeways & Expressways,40.791390000000000,-73.981110000000001,2023,Actual,115310,,1797,4,0.070000000000000,0.6,Short Term,1512.786453703583675
6342,6753, ,256522,1,30,3009370, , ,Y,25,Y, ,3:0||||,04_1001,11,0,4,61, ,256522011,NO ERROR,041001,04,061,1001,2034,04,{56907E9D-B561-4C60-97EF-02EC456AED6D}, ,0, ,578.861321869999983,2ND AVE from E 86TH ST to E 79TH ST,New york,2ND AVE,2.1,2.46,Urban:Principal Arterial - Other,40.775666999999999,-73.953417000000002,2023,Estimated,19754,,2370,201,0.060000000000000,1,Short Term,578.861297012610862
6343,6709,3,100503,1,30, ,222928B, ,Y,50, ,1,3:3||||,04_0008,11,0,4,61, ,100503011,NO ERROR,040008,04,061,8,2034,01,{DF6FCF3B-0C56-4118-814A-28523DA3E06F}, ,0, ,321.869426848999979,NY9A from END W 72ND ST RAMP TO NY 9A to 79TH ST EXIT,New york,HENRY HUDSON PK,5.44,5.64,Urban:Principal Arterial - Freeways & Expressways,40.783003000000001,-73.985798000000003,2023,Actual,76314,,1086,1,0.100000000000000,0.58,Short Term,321.869420684727856
6344,6861, ,256833,1,30, , , ,Y,25,Y, ,2:0|4:0|||,04_1205,11,0,4,61, ,256833011,PARTIAL MATCH FOR THE TO-MEASURE,041205,04,061,1205,2034,04,{F013E217-26D5-40F4-B1C2-EBC288DBB860}, ,0, ,1156.772553100000096,VARICK ST from W HOUSTON ST to W BROADWAY,New york,VARICK ST,0,0.72,Urban:Principal Arterial - Other,40.723520999999998,-74.006173000000004,2023,Estimated,19896,,1612,47,0.060000000000000,1,Short Term,1156.772553099292509
6345,6785, ,256536,1,30, ,5522630, ,Y,25, , ,2:2||||,04_1122,11,0,4,61, ,256536011,NO ERROR,041122,04,061,1122,2034,04,{78238EA6-4FA6-4090-BE3F-D4AE47EBDC3C}, ,0, ,1899.029746899999964,AMSTERDAM AVE from W 155TH ST to I 95,New york,AMSTERDAM AVE,4.82,6,Urban:Principal Arterial - Other,40.832000000000001,-73.942520000000002,2023,Estimated,9142,,1498,206,0.070000000000000,0.64,Short Term,1899.029647773137413
6347,6708,3,100503,1,30, ,222928B, ,Y,50, ,1,3:3||||,04_0008,11,0,4,61, ,100545011,NO ERROR,040008,04,061,8,2034,01,{CA121CFF-632F-4CDC-8FC1-C6E2E0963C53}, ,0, ,321.869416661999992,NY9A from END W 72ND ST RAMP TO NY 9A to 79TH ST EXIT,New york,HENRY HUDSON PK,5.44,5.64,Urban:Principal Arterial - Freeways & Expressways,40.783003000000001,-73.985798000000003,2023,Actual,76314,,1086,1,0.100000000000000,0.58,Short Term,321.869394338048608
6349,6841, ,256723,1,30, , , ,Y,25, , ,1:1|2:0|||,04_1181,11,0,4,61, ,256723011,PARTIAL MATCH FOR THE TO-MEASURE,041181,04,061,1181,2034,04,{AD8B90C8-E40A-4BB4-BB22-C9B910B5ABD1}, ,0, ,1559.278441169999951,GRAND ST from BOWERY to FDR DR,New york,GRAND ST,0.69,1.66,Urban:Principal Arterial - Other,40.713490999999998,-73.978457000000006,2023,Estimated,9315,,414,1,0.060000000000000,0.77,Short Term,1559.278457519117637
6350,6706, ,256519,1,30,3042070, , ,Y,35, , ,2:2|3:3|||,04_0007,11,0,4,61, ,256519011,NO ERROR,040007,04,061,7,2034,01,{FDD8163C-06C5-4997-9B99-F3F92A1C7057}, ,0, ,788.580167071999995,NY9A from 14TH ST to 11th/12th AVE SPLIT,New york,11TH AVE,2.44,2.81,Urban:Principal Arterial - Other,40.747135000000000,-74.007911000000007,2023,Estimated,60092,,3563,303,0.060000000000000,0.6,Short Term,788.580130213227903
6352,6808, ,256587,1,30, , , ,Y,25, , ,2:2||||,04_1147,11,0,4,61, ,256587011,NO ERROR,041147,04,061,1147,2034,04,{EBE852B0-56D2-4A23-B355-B95451D68228}, ,0, ,917.327912070000025,CHRYSTIE ST from CANAL ST to E HOUSTON ST,New york,CHRYSTIE ST,0,0.57,Urban:Principal Arterial - Other,40.719560000000001,-73.993049999999997,2023,Estimated,9218,,670,34,0.060000000000000,0.5,Short Term,917.327935592906897
6354,6705,3,100503,1,30,3042070, , ,Y,35, ,1,2:2|3:3|||,04_0007,11,0,4,61, ,100503011,NO ERROR,040007,04,061,7,2034,01,{A2AB5E31-26FB-4847-AAC0-C19F89732741}, ,0, ,611.827828680000039,NY9A from 14TH ST to 11th/12th AVE SPLIT,New york,11TH AVE,2.44,2.81,Urban:Principal Arterial - Other,40.747135000000000,-74.007911000000007,2023,Estimated,60092,,3563,303,0.060000000000000,0.6,Short Term,611.827818594898190
6355,6703,2,100514,1,30, ,2240137, ,Y,30, , ,2:2||||,04_0006,11,0,4,61, ,100514011,PARTIAL MATCH FOR THE TO-MEASURE,040006,04,061,6,2034,04,{74B3D7D7-B9A8-4DB3-930F-605079449467}, ,0, ,2106.436465199999930,US9 from DYCKMAN ST to NY/Bronx Co Line,New york,BROADWAY,2.15,3.46,Urban:Principal Arterial - Other,40.873190000000001,-73.911519999999996,2023,Estimated,29881,,2020,234,,,Short Term,2106.436527425634267
6357,6813, ,256598,1,30, , , ,Y,25, , ,3:3||||,04_1152,11,0,4,61, ,256598011,NO ERROR,041152,04,061,1152,2034,04,{26862EDD-0279-48EF-9D11-CE2A53EA9F5F}, ,0, ,112.654320034999998,DELANCEY ST from BOWERY to CHRYSTIE ST,New york,DELANCEY ST,0,0.07,Urban:Principal Arterial - Other,40.720140000000001,-73.993470000000002,2023,Estimated,34710,,2222,120,0.050000000000000,0.55,Short Term,112.654351366841993
6359,6702,2,100514,1,30, ,5522590, ,Y,30, , , ,04_0005,11,0,4,61, ,100514011,NO ERROR,040005,04,061,5,2034,04,{F61A1EC6-3BB5-4D12-8909-DB86E04809FD}, ,0, ,2140.431778510000186,US9 from BROADWAY/W 178TH ST to DYCKMAN ST,New york,BROADWAY,0.82,2.15,Urban:Principal Arterial - Other,40.858530000000002,-73.931820000000002,2023,Estimated,17145,,1548,49,0.070000000000000,0.62,Short Term,2140.431657960558823
6360,6752, ,100544,1,30, , , ,Y,35, , ,3:3||||,04_0921,11,0,4,61, ,100544011,NO ERROR,040921,04,061,921,2034,01,{8858B36B-E6E3-4A87-9471-6D969C1CBF9B}, ,0, ,257.495591100000013,907P from ACC PARK AVE to E 135 ST MADISON AVE B OVER,New york,HARLEM RIVER DR,0.61,0.77,Urban:Principal Arterial - Freeways & Expressways,40.809899999999999,-73.934920000000005,2023,Actual,82125,,1026,6,0.060000000000000,0.51,Short Term,257.495627760882485
6361,6856, ,256815,1,30, , , ,Y,25, , ,1:1||||,04_1200,11,0,4,61, ,256815011,PARTIAL MATCH FOR THE TO-MEASURE,041200,04,061,1200,2034,04,{D1DBD428-E2A7-4BE7-95FE-55DE04456BD8}, ,0, ,350.822375625999996,ST JAMES PL from PEARL ST to OLIVER ST,New york,ST JAMES PL,0,0.2,Urban:Principal Arterial - Other,40.712170000000000,-73.999290000000002,2023,Estimated,11857,,983,22,0.060000000000000,0.68,Short Term,350.822375626144719
6362,6780, ,256529,1,30, , , ,Y,25,Y, ,2:0||||,04_1117,11,0,4,61, ,256529011,NO ERROR,041117,04,061,1117,2034,04,{AB4B9718-2E30-40D7-9B3B-DC8D9ED1169F}, ,0, ,2011.684034370000063,9TH AVE from W 59TH ST to W 34TH ST,New york,9TH AVE,0,1.25,Urban:Principal Arterial - Other,40.761800000000001,-73.990150000000000,2023,Estimated,24565,,2007,135,0.060000000000000,1,Short Term,2011.684079174254521
